metric_id,metric_name,registry_trust_level,gate_effective_level,answer_level,trust_level_exact,answer_degraded_to_not_determinable,execution_mode,headline_permitted,headline_withheld_ok,definition_count,family_complete_ok,caveat_verbatim_ok,confidence,confidence_ok,validation_status,citation_chain_complete,contract_complete,contract_violations,propagation_floor,declared_divergence,propagation_justification,verdict
M.REV.001,"Revenue (total, ledger-derived)",SAFE,SAFE,SAFE,True,False,single,True,True,1,True,True,HIGH,True,MATCH,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.REV.002,Revenue by month,SAFE,SAFE,SAFE,True,False,single,True,True,1,True,True,"HIGH (documented DIFFERS: REV.02: 0 of 57 overlapping (property,month) rows differ in VALUE (all amounts match exactly). Row COUNT differs (55 vs 57) only because v_pnl's GROUP BY includ)",True,DIFFERS,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.COL.001,Collections (application-level),DISCLOSE,DISCLOSE,DISCLOSE,True,False,single,True,True,1,True,True,MEDIUM,True,MATCH,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.COL.002,Collections by month,DISCLOSE,DISCLOSE,DISCLOSE,True,False,single,True,True,1,True,True,MEDIUM,True,UNVERIFIED,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.COL.003,Collections (ledger-derived),DISCLOSE,DISCLOSE,DISCLOSE,True,False,single,True,True,1,True,True,MEDIUM,True,MATCH,True,True,,DISCLOSE,,"[DQ.006/C.014/DQ.007/C.015 (MEDIUM)] -> DISCLOSE: Receipt/invoice ledger drift; ledger cross-check only, not the source totals.",PASS
M.INV.001,Invoice billed amount,DISCLOSE,DISCLOSE,DISCLOSE,True,False,single,True,True,1,True,True,MEDIUM,True,MATCH,True,True,,DISCLOSE,,"[DQ.001 (CRITICAL)] -> DISCLOSE: Invoice internal drift (42.7%); individual-invoice trust only, aggregate total unaffected. | [DQ.006/C.014/DQ.007/C.015 (MEDIUM)] -> DISCLOSE: Receipt/invoice ledger drift; ledger cross-check only, not the source totals. | [DQ.013/C.020 (HIGH)] -> DISCLOSE: Duplicate invoices with no dedup mechanism; transitively reaches M.PROFIT.001 Def B.",PASS
M.INV.002,Invoice count,DISCLOSE,DISCLOSE,DISCLOSE,True,False,single,True,True,1,True,True,MEDIUM,True,UNVERIFIED,True,True,,DISCLOSE,,[DQ.013/C.020 (HIGH)] -> DISCLOSE: Duplicate invoices with no dedup mechanism; transitively reaches M.PROFIT.001 Def B.,PASS
M.AR.001A,Tenant dues -- Def A: v_outstanding_receivables (reversals excluded),SHOW_BOTH,SHOW_BOTH,SHOW_BOTH,True,False,family,False,True,4,True,True,SPLIT,True,MATCH,True,True,,SHOW_BOTH,,"[DQ.002/C.001/C.005 (CRITICAL)] -> SHOW_BOTH: 4-way AR conflict. M.LIFE.004 stays SAFE (single-convention use, disclosed).",PASS
M.AR.001B,Tenant dues -- Def B: v_tenant_current_dues (reversals included),SHOW_BOTH,SHOW_BOTH,SHOW_BOTH,True,False,family,False,True,4,True,True,SPLIT,True,MATCH,True,True,,SHOW_BOTH,,"[DQ.002/C.001/C.005 (CRITICAL)] -> SHOW_BOTH: 4-way AR conflict. M.LIFE.004 stays SAFE (single-convention use, disclosed).",PASS
M.AR.001C,Tenant dues -- Def C: application tenant_allotments.balance_due,BLOCK,BLOCK,BLOCK,True,False,internal_only,False,True,4,True,True,BLOCKED,True,MATCH,True,True,,BLOCK,,"[DQ.002/C.001/C.005 (CRITICAL)] -> BLOCK: 4-way AR conflict. M.LIFE.004 stays SAFE (single-convention use, disclosed).",PASS
