section,metric_id,title,widget,headline_permitted,display_value,definition_count,owner_label,trust_level,chart_type,caveat_rendered,conflict_ids,ai_entry_points,unavailable_reason
Business Health,M.REV.001,"Revenue (total, ledger-derived)",kpi_card,True,"₹72,705,593.43",0,Reliable,SAFE,line,False,,explain;why;trust,
Business Health,M.COL.001,Collections (application-level),kpi_card_with_caveat,True,"total: ₹81,855,686.97; deposit_collections: ₹116,000.00; non_deposit: ₹81,739,686.97",0,"Usable, with a caveat",DISCLOSE,line,True,C.014,explain;why;trust,
Business Health,M.AR.001A,Tenant dues -- Def A: v_outstanding_receivables (reversals excluded),multi_definition_panel,False,,4,Multiple definitions — review both,SHOW_BOTH,multi_definition_bar,True,C.001;C.002;C.005,conflict;explain;why;trust,
Business Health,M.EXP.001,"Expenses (total, ledger-derived)",kpi_card,True,"₹20,784,831.96",0,Reliable,SAFE,line,False,,explain;why;trust,
Business Health,M.PROFIT.001,Gross/net profit (3 definitions),conflict_panel_no_headline,False,,3,No single reliable figure — definitions conflict,BLOCK,none,True,C.010;C.011,conflict;explain;why;trust,
Business Health,M.DEP.001,Deposit held,kpi_card,True,"₹4,221,150.00",0,Reliable,SAFE,none,False,,explain;why;trust,
Business Health,M.OWN.001,Owner payments (source total),kpi_card,True,"₹19,019,250.00",0,Reliable,SAFE,line,False,,explain;why;trust,
Business Health,M.CASH.001,Cash balance,kpi_card,True,"₹68,690,988.62",0,Reliable,SAFE,none,False,,explain;why;trust,
Operations,M.OCC.001,Current occupancy (5+ definitions),multi_definition_panel,False,,5,Multiple definitions — review both,SHOW_BOTH,multi_definition_bar,True,C.006;C.007;C.008;C.009,conflict;explain;why;trust,
Operations,M.TEN.001,Staying tenants,kpi_card,True,168,0,Reliable,SAFE,none,False,,explain;trust,
Operations,M.TEN.002,On-Notice tenants,kpi_card,True,7,0,Reliable,SAFE,none,False,C.009,explain;why;trust,
Operations,M.TEN.003,Booked beds,kpi_card,True,4,0,Reliable,SAFE,none,False,,explain;why;trust,
Operations,M.LIFE.002,Move-ins,kpi_card,True,"1,197",0,Reliable,SAFE,line,False,,explain;why;trust,
Operations,M.LIFE.003,Move-outs,kpi_card,True,"1,007",0,Reliable,SAFE,line,False,,explain;why;trust,
Operations,M.MAINT.001,Maintenance volume,kpi_card,True,"1,611",0,Reliable,SAFE,line,False,,explain;why;trust,
Operations,M.EB.001,EB/electricity usage and cost,kpi_card_with_caveat,True,"total_bill_amount: 1,030,618; total_units_consumed: 889,631.04",0,"Usable, with a caveat",DISCLOSE,line,True,,explain;why;trust,
Risks,M.RISK.004,Phantom deposits,kpi_card_with_caveat,True,"allotment_count: 32; amount_at_risk: 722,700",0,"Usable, with a caveat",DISCLOSE,none,True,,explain;trust,
Risks,M.RISK.005,Duplicate invoices,kpi_card_with_caveat,True,duplicate_groups: 322; excess_rows: 356,0,"Usable, with a caveat",DISCLOSE,line,True,C.020,explain;why;trust,
Risks,M.RISK.007,Overlapping allotments,kpi_card_with_caveat,True,₹214.00,0,"Usable, with a caveat",DISCLOSE,none,True,,explain;why;trust,
Risks,M.RISK.008,Ledger/source reconciliation,kpi_card_with_caveat,True,"deposit_settlements: legacy_amount: ₹5,085,959.33; je_net_amount: ₹5,669,454.67; diff: ₹583,495.34; verdict: INVESTIGATE; expenses: legacy_amount: ₹716,402.00; je_net_amount: ₹716,402.00; diff: ₹0.00; verdict: PERFECT; invoices: legacy_amount: ₹72,405,785.40; je_net_amount: ₹74,829,055.40; diff: ₹2,423,270.00; verdict: INVESTIGATE; owner_payments: legacy_amount: ₹19,019,250.00; je_net_amount: ₹19,019,250.00; diff: ₹0.00; verdict: PERFECT; receipts: legacy_amount: ₹81,855,686.97; je_net_amount: ₹87,196,482.59; diff: ₹5,340,795.62; verdict: INVESTIGATE; tenant_adjustments: legacy_amount: ₹514,082.77; je_net_amount: ₹514,082.77; diff: ₹0.00; verdict: PERFECT",0,"Usable, with a caveat",DISCLOSE,none,True,C.014;C.015;C.016,explain;why;trust,
