metric_id,semantic_name,display_name,domain,description,definition,source_objects,source_columns,grain,dimensions,date_field,aggregation,filters,reversal_policy,soft_delete_policy,historical_policy,dependency_metrics,validation_reference,conflict_ids,dq_ids,trust_level,ai_handling,allowed_questions,prohibited_questions,caveat_text,status
M.REV.001,"Revenue (total, ledger-derived)","Revenue (total, ledger-derived)",Financial,"Total income recognised across all INCOME-type ledger accounts (rental, electricity, guest stay, onboarding, late fees, exit charges, other), for whatever date range is queried.","SUM(signed_amount) WHERE account_type='INCOME', reversal-excluded convention (v_account_balances).","journal_lines, journal_entries, coa_accounts; v_pnl (F.001), v_revenue_by_period (F.003)","journal_lines.debit, journal_lines.credit, journal_lines.account_id; journal_entries.entry_date, is_reversal_of; coa_accounts.account_type, normal_balance",org=organization_id (single org in this dataset); property=property_id (v_pnl grain includes property_id; some manual/unlinked postings carry NULL property_id); tenant/allotment=Not applicable at this aggregate level,organization; property; tenant/allotment/bed; time (month); account/COA,journal_entries.entry_date (journal_lines carries this denormalised at export),"SUM(signed_amount), signed_amount = CASE normal_balance WHEN 'CREDIT' THEN credit-debit ELSE debit-credit END",coa_accounts.account_type = 'INCOME',EXCLUDED: WHERE is_reversal_of IS NULL AND NOT EXISTS(reversal-of-this-entry). Proven equivalent in total to the reversal-INCLUDED convention (balances net to zero identically) -- see conflicts.md C.002.,"Not directly filtered here -- a soft-deleted source row's reversal entry is excluded by the same is_reversal_of rule, so its net ledger contribution is already zero.",Ledger (journal_entries.entry_date): 2019-11-03 to 2026-09-20 (54 months with ledger activity; business_logic.md 9). Revenue accounts specifically active across the ledger's full span.,,"F.001 v_pnl.revenue (validated: REV.01, exact match, Rs.72,705,593.43 both sides)",,,SAFE,SAFE,"Direct questions about revenue (total, ledger-derived) (current value, trend, by-period, by-property where grain supports it).",None beyond the metric's own documented scope (see Known limitations).,,ACTIVE
M.REV.002,Revenue by month,Revenue by month,Financial,"Monthly time series of ledger-derived revenue, at (property, month) grain matching v_pnl's own grouping.","GROUP BY organization_id, property_id, date_trunc('month', entry_date) of M.REV.001's reconstruction.","journal_lines, journal_entries, coa_accounts; v_pnl (F.001)","Same as M.REV.001 plus date_trunc('month', entry_date)","org=organization_id; property=property_id -- REQUIRED as part of the grain: a month with both a real-property posting and a NULL-property ('manual') posting produces two separate rows, not one; tenant/allotment=Not applicable",organization; property; tenant/allotment/bed; time (month),"entry_date, truncated to calendar month","SUM(signed_amount) per (property_id, month)",account_type='INCOME',Same as M.REV.001 (excluded convention),Same as M.REV.001,"53 distinct calendar months of INCOME activity within the ledger's 54-month span (one month has expense-only activity, no income).",M.REV.001,"F.001 v_pnl, monthly rows (validated: REV.02, 57 of 57 (property,month) rows match in VALUE exactly; monthly_validation/revenue_by_month.csv). Row-count differs (55 reconstructed vs 57 in the view) only because v_pnl includes 2 EXPENSE-only months with revenue=0 that an income-only reconstruction never creates a row for -- both sides are Rs.0 for those months, confirmed by inspection.",,,SAFE,SAFE,"Direct questions about revenue by month (current value, trend, by-period, by-property where grain supports it).",None beyond the metric's own documented scope (see Known limitations).,,ACTIVE
M.COL.001,Collections (application-level),Collections (application-level),Financial,"Total cash actually collected from tenants via receipts, as recorded by the application.",SUM(receipts.amount_paid) WHERE NOT is_deleted,"receipts; None (no dedicated collections view is exported); get_universal_metrics / get_universal_metrics_v2 compute period-scoped versions of this (bodies exported, no output data)","receipts.amount_paid, receipts.receipt_type, receipts.payment_date, receipts.is_deleted","org=organization_id; property=Not carried on receipts directly -- would require a join through tenant_allotments; tenant/allotment=tenant_id, tenant_allotment_id available for drill-down",organization; property; tenant/allotment/bed; time (month),payment_date,SUM(amount_paid); deposit_collections = SUM(amount_paid) WHERE receipt_type='booking'; totalCollectionsWithoutDeposit = total - deposit_collections,is_deleted = false,"NOT APPLICABLE -- this is a source-table definition, not ledger-derived. See M.COL.003 for the ledger-derived counterpart, which IS reversal-sensitive.","LIVE ROWS ONLY: is_deleted = false. This is the application's own convention, confirmed by get_universal_metrics' own SQL.","2022-11-30 to 2026-08-28 (46 months, receipts.payment_date; business_logic.md 9).",,"No dedicated business view exists to validate the total against; validated instead against H.001's legacy_amount for receipts (COLL.01, exact match Rs.81,855,686.97).",C.014,DQ.006;DQ.014,DISCLOSE,DISCLOSE,"Questions about collections (application-level) may be answered directly, WITH the caveat text attached every time.",Stating collections (application-level) without its caveat text; using it as if it were reconciled against every alternative source.,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.006;DQ.014. See conflicts.md C.014.",ACTIVE
M.COL.002,Collections by month,Collections by month,Financial,"Monthly time series of M.COL.001, by receipts.payment_date.","GROUP BY date_trunc('month', payment_date) of M.COL.001's reconstruction.",receipts,Same as M.COL.001 plus month,org=organization_id; property=Not carried (see M.COL.001); tenant/allotment=Not applicable at this grain,organization; property; tenant/allotment/bed; time (month),"payment_date, truncated to month",SUM(amount_paid) per month; deposit vs non-deposit split retained,is_deleted=false,Not applicable (source-table definition),Live rows only,46 months (2022-11 to 2026-08).,M.COL.001,"No exported view; recorded as a first computation (monthly_validation/collections_by_month.csv, 46 months).",C.014,DQ.006;DQ.014,DISCLOSE,DISCLOSE,"Questions about collections by month may be answered directly, WITH the caveat text attached every time.",Stating collections by month without its caveat text; using it as if it were reconciled against every alternative source.,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.006;DQ.014. See conflicts.md C.014.",ACTIVE
M.COL.003,Collections (ledger-derived),Collections (ledger-derived),Financial,"Cash inflow recognised in the ledger against receipts, on the cash/bank accounts.","SUM(debit) WHERE journal_entries.source_table='receipts' AND account_code IN ('1110','1120'), reversal-excluded.","journal_lines, journal_entries, coa_accounts; None dedicated (get_universal_metrics_v2 computes this internally, no exported output); get_universal_metrics_v2 (body exported, logic reproduced here)","journal_lines.debit, account_id; journal_entries.source_table, entry_date, is_reversal_of; coa_accounts.code",org=organization_id; property=Not directly carried on cash-account lines; tenant/allotment=Not applicable at this aggregate,organization; property; tenant/allotment/bed; time (month); account/COA,journal_entries.entry_date,SUM(debit) over reversal-excluded lines -- reversal entries and the forward entries they reverse are both dropped.,"source_table='receipts' AND code IN ('1110','1120')","EXCLUDED -- the v_account_balances convention: reversal entries and the forward entries they reverse are both dropped. This is the convention get_universal_metrics_v2's own v_collections SQL applies (je.is_reversal_of IS NULL AND NOT EXISTS a reversal of je.id). Equivalent to debit-minus-credit netting over the same rows: 112 reversal credits totalling Rs.5,357,078.07 exactly offset the 112 reversed forward debits.",Not directly filtered -- inherited via the reversal mechanism (a soft-deleted receipt's forward entry is offset by its reversal).,Same ledger window as receipts-sourced postings (46 months of receipts activity within the ledger's 2019-2026 span).,M.COL.001,"No same-definition comparable reference is wired, so this metric is UNVERIFIED. COLL.02 (H.001 v_je_amount_reconciliation je_net_amount, Rs.87,196,482.59) is supporting evidence only and is NOT this metric's reference: H.001's own formula, CASE WHEN is_reversal_of IS NULL THEN debit ELSE -debit END, never subtracts anything because reversal lines carry credit and not debit, so it reports gross debit including reversed forwards. COLL.03 is a code-defect proof for DQ.030, also supporting evidence only. Live value of this metric: Rs.81,839,404.52.",C.014,DQ.006;DQ.030,DISCLOSE,DISCLOSE,"Questions about collections (ledger-derived) may be answered directly, WITH the caveat text attached every time.",Stating collections (ledger-derived) without its caveat text; using it as if it were reconciled against every alternative source.,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.006;DQ.030. See conflicts.md C.014.",ACTIVE
M.INV.001,Invoice billed amount,Invoice billed amount,Financial,"Total amount charged to tenants via invoices (rent, electricity, other charges, late fees), regardless of payment status.",SUM(invoices.total_amount) WHERE NOT is_deleted,"invoices; v_export_invoices (redundant wrapper, not used -- base table exported directly)","invoices.total_amount, rent_amount, electricity_amount, other_charges, late_fee, invoice_type, billing_month, invoice_date, is_deleted","org=organization_id; property=property_id (via tenant_allotments join if needed; invoices itself does not carry property_id directly per its exported columns -- Not determinable whether it does without re-checking M.004); tenant/allotment=tenant_id, allotment_id available directly on invoices",organization; property; tenant/allotment/bed; time (month),"COALESCE(invoice_date, (billing_month||'-01')::date, created_at::date) per get_universal_metrics; invoice_date alone for a simpler reconstruction",SUM(total_amount),is_deleted = false,NOT APPLICABLE -- source-table definition. See conflicts.md C.015 for the ledger-derived counterpart's reversal handling.,"LIVE ROWS ONLY: is_deleted = false, matching get_universal_metrics' own filter.",2023-02-05 to 2026-09-20 (44 months plus a small tail of forward-dated rows to 2026-09-20; business_logic.md 9).,,"No single exported view sums invoices.total_amount alone; cross-checked against H.001's legacy_amount for invoices (Rs.72,405,785.40) and against v_je_amount_reconciliation's ledger-net figure (Rs.74,829,055.40, INVESTIGATE, Rs.2,423,270.00 gap -- DQ.007/C.015).",C.015;C.020,DQ.007;DQ.013,DISCLOSE,DISCLOSE,"Questions about invoice billed amount may be answered directly, WITH the caveat text attached every time.",Stating invoice billed amount without its caveat text; using it as if it were reconciled against every alternative source.,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.007;DQ.013. See conflicts.md C.015;C.020.",ACTIVE
M.INV.002,Invoice count,Invoice count,Financial,"Number of invoices issued, live and/or by type/status.","COUNT(*) FROM invoices WHERE NOT is_deleted, optionally grouped by invoice_type/status.",invoices,"invoices.id, invoice_type, status, reference_type, is_deleted",org=organization_id; property=Via join if needed; tenant/allotment=Via join if needed,organization; property; tenant/allotment/bed,invoice_date or billing_month depending on the question,COUNT(*),is_deleted = false,Not applicable,Live rows only,Same as M.INV.001 (2023-02 to 2026-09).,,H.035 (invoice_type_status_matrix) provides an independent breakdown by type/status/reference_type; total row count (5214) matches M.006's exact count directly.,,DQ.013,DISCLOSE,DISCLOSE,"Questions about invoice count may be answered directly, WITH the caveat text attached every time.",Stating invoice count without its caveat text; using it as if it were reconciled against every alternative source.,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.013.",ACTIVE
M.AR.001A,Tenant dues -- Def A: v_outstanding_receivables (reversals excluded),Tenant dues -- Def A: v_outstanding_receivables (reversals excluded),Financial,"Net Accounts-Receivable balance per tenant/allotment, ledger-derived, reversal-excluded convention. Does NOT include deposit or booking-advance balances.","SUM(signed_amount) WHERE account_code='1200' AND party_kind='tenant', GROUP BY tenant_id, allotment_id, from v_account_balances.","journal_lines, journal_entries, coa_accounts; v_outstanding_receivables (F.006)","journal_lines.debit, credit, party_id, allotment_id; journal_entries.entry_date, is_reversal_of; coa_accounts.code","org=organization_id; property=Not carried directly (would need a join through tenant_allotments); tenant/allotment=tenant_id, allotment_id",organization; property; tenant/allotment/bed; account/COA,entry_date (for last_charge_date/last_payment_date only; not a filter on the balance itself),"SUM(signed_amount) per (tenant_id, allotment_id)",account_code='1200' AND party_kind='tenant',EXCLUDED (v_account_balances convention: WHERE is_reversal_of IS NULL AND NOT reversed).,Inherited via reversal exclusion -- a soft-deleted invoice/receipt/adjustment's reversed entries are excluded.,"Ledger span, 2019-11 to 2026-09.",,"F.006 v_outstanding_receivables (validated: AR.01, exact match Rs.83,297.85).",C.001;C.002;C.005,DQ.002;DQ.037,SHOW_BOTH,SHOW_BOTH,"Questions about tenant dues -- def a: v_outstanding_receivables (reversals excluded) may be answered ONLY by presenting all competing definitions side by side, each labelled.",Stating a single tenant dues -- def a: v_outstanding_receivables (reversals excluded) figure without naming which definition it is; averaging or blending competing definitions.,SHOW_BOTH: present every definition with its label; never silently pick one. Multiple valid definitions exist for this metric. See conflicts.md C.001;C.002;C.005 for the full comparison.,ACTIVE
M.AR.001B,Tenant dues -- Def B: v_tenant_current_dues (reversals included),Tenant dues -- Def B: v_tenant_current_dues (reversals included),Financial,"Net AR balance PLUS deposit_held PLUS booking_advance per tenant/allotment, ledger-derived, reversal-included convention.","Per-account SUM(debit-credit or credit-debit) for accounts 1200/2100/2400, GROUP BY tenant_id, allotment_id, from raw journal_lines (no reversal filter).","journal_lines, journal_entries, coa_accounts; v_tenant_current_dues (F.007)","journal_lines.debit, credit, party_id, allotment_id; coa_accounts.code IN ('1200','2100','2400')","org=organization_id; property=Not carried directly; tenant/allotment=tenant_id, allotment_id",organization; property; tenant/allotment/bed; account/COA,"entry_date (for last_charge_date/last_payment_date, charge_count/payment_count)","SUM per (tenant_id, allotment_id); ar_balance = net_dues (account 1200 only); deposit_held (2100); booking_advance (2400)","party_kind='tenant' AND code IN ('1200','2100','2400')",INCLUDED -- no is_reversal_of filter. charge_count/payment_count DO double-count a reversed-and-reposted charge (row counts are NOT reversal-neutral even though dollar totals are).,No explicit filter -- relies on the reversal mechanism to net out soft-deleted sources.,"Ledger span, 2019-11 to 2026-09.",,"F.007 v_tenant_current_dues (validated: AR.02, exact match Rs.83,297.85; AR.03 proves A==B for the total).",C.001;C.002;C.005,DQ.002;DQ.037,SHOW_BOTH,SHOW_BOTH,"Questions about tenant dues -- def b: v_tenant_current_dues (reversals included) may be answered ONLY by presenting all competing definitions side by side, each labelled.",Stating a single tenant dues -- def b: v_tenant_current_dues (reversals included) figure without naming which definition it is; averaging or blending competing definitions.,SHOW_BOTH: present every definition with its label; never silently pick one. Multiple valid definitions exist for this metric. See conflicts.md C.001;C.002;C.005 for the full comparison.,ACTIVE
M.AR.001C,Tenant dues -- Def C: application tenant_allotments.balance_due,Tenant dues -- Def C: application tenant_allotments.balance_due,Financial,Application-maintained balance-due field stored directly on the allotment row.,"tenant_allotments.balance_due, as stored (no reconstruction logic -- it is itself the source).",tenant_allotments,tenant_allotments.balance_due,"org=organization_id; property=property_id (carried directly on tenant_allotments); tenant/allotment=tenant_id, allotment_id (this IS the grain)",organization; property; tenant/allotment/bed,"Not applicable (a current-value column, not an event)","SUM(balance_due) for a portfolio total, or read per-row for one allotment",None (or staying_status filter if scoping to current tenants),NOT APPLICABLE -- not ledger-derived at all.,Not applicable (tenant_allotments has no is_deleted column in its exported columns),Reflects whatever was last written to this column -- not a time series.,,"No exported view/diagnostic pre-sums this column; summed directly in this pass (validate_receivables.py: Rs.1,009,125.78 over 97 allotments >0).",C.001;C.005,DQ.002;DQ.037,BLOCK,BLOCK,"Only meta-questions (""why can't you tell me tenant dues -- def c: application tenant_allotments.balance_due"", ""what are the competing definitions"") -- never a single-number answer.","Any direct ""the tenant dues -- def c: application tenant_allotments.balance_due is X"" answer; picking the definition that looks most favourable; silently defaulting to one definition.",BLOCKED: do not state a single number for this metric. Conflicting definitions exist (see conflicts.md C.001;C.005). See data_quality_report.md DQ.002.,ACTIVE_BLOCKED
