metric_id,metric_name,definition_label,check_id,reconstructed_value,reference_value,absolute_difference,percentage_difference,validation_status,pass_fail,reference_source,explanation_reference_id,trust_level,notes
M.REV.001,"Revenue (total, ledger-derived)","Revenue (total, ledger-derived)",REV.01,72705593.43,72705593.43,0.00,0.00,MATCH,PASS,F.001 v_pnl (sum of monthly revenue),REV.01,SAFE,Reconstruction matches the exported business view within tolerance.
M.REV.002,Revenue by month,Revenue by month,REV.02,55.00,57.00,2.00,3.51,DIFFERS,FAIL,F.001 v_pnl,REV.02,SAFE,"0 of 57 overlapping (property,month) rows differ in VALUE (all amounts match exactly). Row COUNT differs (55 vs 57) only because v_pnl's GROUP BY includes any month with EXPENSE-only activity and no INCOME lines, producing a revenue=0 row that an income-only reconstruction never creates -- confirmed by inspecting the 2 extra rows, all revenue=0."
M.REV.002,Revenue by month,Revenue by month,REV.03,7.00,7.00,0.00,0.00,MATCH,PASS,F.003 v_revenue_by_period,REV.03,SAFE,Reconstruction matches the exported business view within tolerance.
M.COL.001,Collections (application-level),Collections (application-level),COLL.01,81855686.97,81855686.97,0.00,0.00,MATCH,PASS,H.001 v_je_amount_reconciliation (legacy_amount),COLL.01,DISCLOSE,Reconstruction matches the exported business view within tolerance.
M.COL.002,Collections by month,Collections by month,,"{'2022-11-01': 27560.0, '2022-12-01': 49700.0, '2023-01-01': 125120.0, '2023-02-01': 107062.0, '2023-03-01': 22404.0, '2023-04-01': 458864.0, '2023-05-01': 501055.45, '2023-06-01': 428472.0, '2023-07-01': 487420.0, '2023-08-01': 491840.0, '2023-09-01': 600204.0, '2023-10-01': 548973.0, '2023-11-01': 492079.0, '2023-12-01': 585745.0, '2024-01-01': 714940.85, '2024-02-01': 748945.32, '2024-03-01': 910206.0, '2024-04-01': 1276402.0, '2024-05-01': 1236599.31, '2024-06-01': 1155066.0, '2024-07-01': 1493393.0, '2024-08-01': 1483629.0, '2024-09-01': 1513055.0, '2024-10-01': 1466332.0, '2024-11-01': 1622186.07, '2024-12-01': 1692950.77, '2025-01-01': 2172818.0, '2025-02-01': 2346099.0, '2025-03-01': 2552049.6, '2025-04-01': 2743782.55, '2025-05-01': 2800076.64, '2025-06-01': 3347374.96, '2025-07-01': 3547865.3, '2025-08-01': 3880935.32, '2025-09-01': 3155774.47, '2025-10-01': 3109511.73, '2025-11-01': 2841789.19, '2025-12-01': 2562698.75, '2026-01-01': 3102912.33, '2026-02-01': 2994144.13, '2026-03-01': 2540781.54, '2026-04-01': 3508201.67, '2026-05-01': 3504675.72, '2026-06-01': 3769572.52, '2026-07-01': 3547837.78, '2026-08-01': 3586582.0}",,,,UNVERIFIED,UNVERIFIED,,,DISCLOSE,"No validation_summary.csv check maps to this metric_id (no reference view to compare against, or not re-validated at semantic-layer join -- see metric_reconstruction.md)."
M.COL.003,Collections (ledger-derived),Collections (ledger-derived),COLL.02,87196482.59,87196482.59,0.00,0.00,MATCH,PASS,H.001 v_je_amount_reconciliation (je_net_amount),COLL.02,DISCLOSE,"Supporting evidence only, NOT a reference for M.COL.003. Reproduces H.001's own construction exactly: CASE WHEN is_reversal_of IS NULL THEN debit ELSE -debit END never subtracts, because reversal lines carry credit and not debit, so the figure is gross debit including Rs.5,357,078.07 of forward postings that were later reversed. M.COL.003's reversal-excluded value is Rs.81,839,404.52 and its residual against M.COL.001 is Rs.16,282.45 (DQ.006/C.014)."
M.COL.003,Collections (ledger-derived),Collections (ledger-derived),COLL.03,0.00,0.00,0.00,,MATCH,PASS,conflicts.md C.021 / DQ.030 (predicted runtime symptom),COLL.03,DISCLOSE,"CONFIRMS DQ.030: filtering journal_lines on account_code='1000' (the 'Assets' HEADER account, not a leaf posting account) for source_table='receipts' returns 0 rows and Rs.0.00 total. This is the exact filter used in get_universal_metrics_series' 'collections' column -- proving from real data (not just code-reading) that it returns zero for every month. Compare to COLL.02's gross 1110/1120-based figure of Rs.87,196,482.59."
M.INV.001,Invoice billed amount,Invoice billed amount,DQ.001,2227.00,2227.00,0.00,0.00,MATCH,PASS,data_quality_report.md DQ.001 (H.043),DQ.001,DISCLOSE,Reconstruction matches the exported business view within tolerance.
M.INV.001,Invoice billed amount,Invoice billed amount,DQ.001pct,42.70,42.70,0.00,0.00,MATCH,PASS,data_quality_report.md DQ.001,DQ.001pct,DISCLOSE,Reconstruction matches the exported business view within tolerance.
M.INV.002,Invoice count,Invoice count,,"{'total': 5214, 'by_type': {'regular': 5157, 'exit_charge': 36, 'additional_deposit': 21}}",,,,UNVERIFIED,UNVERIFIED,,,DISCLOSE,"No validation_summary.csv check maps to this metric_id (no reference view to compare against, or not re-validated at semantic-layer join -- see metric_reconstruction.md)."
