question,domain,expectation,intents,plan_type,status,metric_ids,trust_level,headline_permitted,execution_calls,definitions_planned,clarification_kind,schema_valid,validation_problems,trust_delegated_ok,ambiguity_preserved_ok,verdict,reason
How much revenue did we make?,revenue,answerable,lookup,single_value_lookup,READY,M.REV.001,SAFE,True,1,M.REV.001,,True,,True,True,PASS,
Revenue by month,revenue,answerable,trend,trend_series,READY,M.REV.002,SAFE,True,1,M.REV.002,,True,,True,True,PASS,
Why did revenue fall?,revenue,answerable,driver,driver_decomposition,READY,M.REV.001,SAFE,True,1,M.REV.001,,True,,True,True,PASS,
Revenue in 2015,revenue,refuse,lookup,no_plan,NOT_DETERMINABLE,M.REV.001,,False,0,,,True,,True,True,PASS,
How much did we collect?,collections,clarify,lookup,no_plan,NEEDS_CLARIFICATION,,,False,0,,definitional,True,,True,True,PASS,
Collections by month,collections,clarify,trend,no_plan,NEEDS_CLARIFICATION,,,False,0,,definitional,True,,True,True,PASS,
How much do tenants owe?,tenant dues,multi,lookup,explain_the_conflict,READY,"M.AR.001A,M.AR.001B,M.AR.001C,M.AR.001D",SHOW_BOTH,False,4,"M.AR.001A,M.AR.001B,M.AR.001C,M.AR.001D",,True,,True,True,PASS,
What are our outstanding receivables?,tenant dues,multi,lookup,explain_the_conflict,READY,"M.AR.001A,M.AR.001B,M.AR.001C,M.AR.001D",SHOW_BOTH,False,4,"M.AR.001A,M.AR.001B,M.AR.001C,M.AR.001D",,True,,True,True,PASS,
How much does this tenant owe?,tenant dues,clarify,lookup,no_plan,NEEDS_CLARIFICATION,"M.AR.001A,M.AR.001B,M.AR.001C,M.AR.001D",,False,0,,referential,True,,True,True,PASS,
How much deposit are we holding?,deposits,answerable,lookup,single_value_lookup,READY,M.DEP.001,SAFE,True,1,M.DEP.001,,True,,True,True,PASS,
What were our deposit settlements?,deposits,answerable,lookup,single_value_lookup,READY,M.DEP.002,DISCLOSE,True,1,M.DEP.002,,True,,True,True,PASS,
Are there phantom deposits?,deposits,answerable,lookup,single_value_lookup,READY,M.RISK.003,DISCLOSE,True,1,M.RISK.003,,True,,True,True,PASS,
What is occupancy?,occupancy,multi,lookup,explain_the_conflict,READY,M.OCC.001,SHOW_BOTH,False,1,M.OCC.001,,True,,True,True,PASS,
How full are we?,occupancy,multi,lookup,explain_the_conflict,READY,M.OCC.001,SHOW_BOTH,False,1,M.OCC.001,,True,,True,True,PASS,
What was occupancy in 2015?,occupancy,refuse,lookup,no_plan,NOT_DETERMINABLE,M.OCC.001,,False,0,,,True,,True,True,PASS,
How much did we spend?,expenses,answerable,lookup,single_value_lookup,READY,M.EXP.001,SAFE,True,1,M.EXP.001,,True,,True,True,PASS,
Expenses by category,expenses,answerable,lookup,single_value_lookup,READY,M.EXP.002,DISCLOSE,True,1,M.EXP.002,,True,,True,True,PASS,
What's our profit?,profit,multi,lookup,explain_the_conflict,BLOCKED,M.PROFIT.001,BLOCK,False,1,M.PROFIT.001,,True,,True,True,PASS,
What was profit last month?,profit,multi,lookup,explain_the_conflict,BLOCKED,M.PROFIT.001,BLOCK,False,1,M.PROFIT.001,,True,,True,True,PASS,
