key,logical_name,class,rows,cols,bytes,file,note
T.accounting_migration_log,public.accounting_migration_log,base_table,30,6,5632,Supabase Snippet Untitled query (70).csv,base table export
T.ai_actions,public.ai_actions,base_table,7,8,1739,Supabase Snippet Untitled query (71).csv,base table export
T.ai_logs,public.ai_logs,base_table,6766,9,2061844,Supabase Snippet Untitled query (72).csv,base table; prompt_excerpt/response_excerpt EXCLUDED (PII); +1 row vs M.006 (live write)
T.ai_sessions,public.ai_sessions,base_table,14,8,3023,Supabase Snippet Untitled query (73).csv,base table export
T.announcements,public.announcements,base_table,1,11,660,Supabase Snippet Untitled query (74).csv,base table export
T.apartments,public.apartments,base_table,43,28,13651,Supabase Snippet Untitled query (75).csv,base table export
T.asset_allocations,public.asset_allocations,base_table,1822,10,481914,Supabase Snippet Untitled query (76).csv,base table export
T.asset_brands,public.asset_brands,base_table,50,4,5709,Supabase Snippet Untitled query (77).csv,base table export
T.asset_categories,public.asset_categories,base_table,11,4,1354,Supabase Snippet Untitled query (78).csv,base table export
T.asset_types,public.asset_types,base_table,34,10,6563,Supabase Snippet Untitled query (79).csv,base table export
T.assets,public.assets,base_table,1700,27,501441,Supabase Snippet Untitled query (80).csv,base table export
T.attendance_sync,public.attendance_sync,base_table,50,10,9084,Supabase Snippet Untitled query (81).csv,base table export
T.audit_logs,public.audit_logs,base_table,3119,10,1372034,Supabase Snippet Untitled query (82).csv,base table export
T.bed_rates,public.bed_rates,base_table,24,9,4457,Supabase Snippet Untitled query (83).csv,base table export
T.beds,public.beds,base_table,203,9,35405,Supabase Snippet Untitled query (84).csv,base table export
T.bot_conversations,public.bot_conversations,base_table,1,3,108,Supabase Snippet Untitled query (85).csv,AGGREGATE ONLY (1 summary row); transcript/phone EXCLUDED (PII). Row-level NOT exported
T.coa_accounts,public.coa_accounts,base_table,57,13,11803,Supabase Snippet Untitled query (86).csv,base table export
T.cost_estimate_approvers,public.cost_estimate_approvers,base_table,1,7,274,Supabase Snippet Untitled query (87).csv,base table export
T.deposit_settlements,public.deposit_settlements,base_table,307,17,78797,Supabase Snippet Untitled query (88).csv,base table export
T.diagnostic_sessions,public.diagnostic_sessions,base_table,479,11,1209812,Supabase Snippet Untitled query (89).csv,base table export
T.eb_monitoring_readings,public.eb_monitoring_readings,base_table,35,12,8205,Supabase Snippet Untitled query (90).csv,base table export
T.eb_payments,public.eb_payments,base_table,70,14,18634,Supabase Snippet Untitled query (91).csv,base table export
T.eb_rates,public.eb_rates,base_table,2,7,334,Supabase Snippet Untitled query (92).csv,base table export
T.eb_tenant_shares,public.eb_tenant_shares,base_table,801,14,190312,Supabase Snippet Untitled query (93).csv,base table export
T.electricity_readings,public.electricity_readings,base_table,1411,12,324303,Supabase Snippet Untitled query (94).csv,base table export
T.email_templates,public.email_templates,base_table,4,6,533,Supabase Snippet Untitled query (95).csv,base table export
T.employee_specialties,public.employee_specialties,base_table,10,4,1195,Supabase Snippet Untitled query (96).csv,base table export
T.employees_sync,public.employees_sync,base_table,23,13,4973,Supabase Snippet Untitled query (97).csv,base table export
T.enquiries,public.enquiries,base_table,18,13,4130,Supabase Snippet Untitled query (98).csv,"base table; name/phone/raw_payload EXCLUDED, phone_hash derived"
T.exit_tasks,public.exit_tasks,base_table,3,16,1798,Supabase Snippet Untitled query (99).csv,base table export
T.expense_bed_allocations,public.expense_bed_allocations,base_table,448,6,83022,Supabase Snippet Untitled query (100).csv,base table export
T.expense_categories,public.expense_categories,base_table,9,8,1595,Supabase Snippet Untitled query - 2026-08-29T153942.173.csv,base table export
T.expense_subcategories,public.expense_subcategories,base_table,10,9,1875,Supabase Snippet Untitled query - 2026-08-29T153950.813.csv,base table export
T.expenses,public.expenses,base_table,516,20,211160,Supabase Snippet Untitled query - 2026-08-29T153959.048.csv,base table export
T.export_entity_registry,public.export_entity_registry,base_table,17,5,1130,Supabase Snippet Untitled query - 2026-08-29T154008.604.csv,base table export
T.financial_audit_log,public.financial_audit_log,base_table,23132,12,6638484,Supabase Snippet Untitled query - 2026-08-29T154018.063.csv,base table export
T.gst_monthly_workings,public.gst_monthly_workings,base_table,5,10,444851,Supabase Snippet Untitled query - 2026-08-29T154050.280.csv,base table export
T.invoice_line_items,public.invoice_line_items,base_table,5536,8,1898363,Supabase Snippet Untitled query - 2026-08-29T154103.610.csv,base table export
T.invoice_pdf_configs,public.invoice_pdf_configs,base_table,2,19,1063,Supabase Snippet Untitled query - 2026-08-29T154126.576.csv,base table export
T.invoices,public.invoices,base_table,5214,26,2195046,Supabase Snippet Untitled query - 2026-08-29T154136.061.csv,base table export
T.issue_sub_types,public.issue_sub_types,base_table,51,8,10871,Supabase Snippet Untitled query - 2026-08-29T154146.062.csv,base table export
T.issue_type_asset_types,public.issue_type_asset_types,base_table,33,5,5961,Supabase Snippet Untitled query - 2026-08-29T154156.427.csv,base table export
T.issue_type_expense_mapping,public.issue_type_expense_mapping,base_table,14,7,3194,Supabase Snippet Untitled query - 2026-08-29T154211.916.csv,base table export
T.issue_types,public.issue_types,base_table,14,7,1920,Supabase Snippet Untitled query - 2026-08-29T154222.996.csv,base table export
T.journal_entries,public.journal_entries,base_table,14236,11,3963390,Supabase Snippet Untitled query - 2026-08-29T154234.098.csv,base table export
T.journal_lines,public.journal_lines,base_table,33894,20,14443064,Supabase Snippet Untitled query - 2026-08-29T154246.392.csv,"base table DENORMALISED: +6 cols joined from journal_entries (entry_date, period, posted_at, source_table, source_id, is_reversal_of)"
T.maintenance_item_stock_entries,public.maintenance_item_stock_entries,base_table,47,12,12282,Supabase Snippet Untitled query - 2026-08-29T154317.277.csv,base table export
T.maintenance_item_usage,public.maintenance_item_usage,base_table,39,12,12596,Supabase Snippet Untitled query - 2026-08-29T154324.995.csv,base table export
T.maintenance_items,public.maintenance_items,base_table,93,16,26625,Supabase Snippet Untitled query - 2026-08-29T154332.270.csv,base table export
T.maintenance_tickets,public.maintenance_tickets,base_table,1611,27,1395924,Supabase Snippet Untitled query - 2026-08-29T154354.295.csv,base table; photo_urls/tenant_name/tenant_phone EXCLUDED; +1 row vs M.006 (live write)
T.offline_kyc_pending,public.offline_kyc_pending,base_table,38,11,11739,Supabase Snippet Untitled query - 2026-08-29T154413.267.csv,base table export
T.org_branding_settings,public.org_branding_settings,base_table,1,4,281,Supabase Snippet Untitled query - 2026-08-29T154445.011.csv,base table export
T.org_email_settings,public.org_email_settings,base_table,1,14,364,Supabase Snippet Untitled query - 2026-08-29T154458.219.csv,base table export
T.org_whatsapp_settings,public.org_whatsapp_settings,base_table,1,8,304,Supabase Snippet Untitled query - 2026-08-29T154516.130.csv,base table export
T.organization_bank_accounts,public.organization_bank_accounts,base_table,5,9,801,Supabase Snippet Untitled query - 2026-08-29T154527.555.csv,base table export
T.organization_subscriptions,public.organization_subscriptions,base_table,1,12,374,Supabase Snippet Untitled query - 2026-08-29T154544.442.csv,base table export
T.organizations,public.organizations,base_table,1,18,676,Supabase Snippet Untitled query - 2026-08-29T154555.779.csv,base table export
T.otp_codes,public.otp_codes,base_table,6,4,638,Supabase Snippet Untitled query - 2026-08-29T154602.426.csv,base table export
T.owner_contracts,public.owner_contracts,base_table,35,31,13245,Supabase Snippet Untitled query - 2026-08-29T154611.292.csv,base table export
T.owner_payments,public.owner_payments,base_table,345,17,120259,Supabase Snippet Untitled query - 2026-08-29T154652.512.csv,base table export
T.owners,public.owners,base_table,13,8,1816,Supabase Snippet Untitled query - 2026-08-29T154700.834.csv,base table export
T.payment_proofs,public.payment_proofs,base_table,24,7,4951,Supabase Snippet Untitled query - 2026-08-29T154709.171.csv,base table export
T.payroll_sync,public.payroll_sync,base_table,18,15,3423,Supabase Snippet Untitled query - 2026-08-29T154732.483.csv,base table export
T.profiles,public.profiles,base_table,223,4,30103,Supabase Snippet Untitled query - 2026-08-29T154740.262.csv,base table; avatar_url/email/full_name/phone EXCLUDED; +1 row vs M.006 (live write)
T.properties,public.properties,base_table,1,12,291,Supabase Snippet Untitled query - 2026-08-29T154748.802.csv,base table export
T.property_images,public.property_images,base_table,2,7,423,Supabase Snippet Untitled query - 2026-08-29T154755.338.csv,base table export
T.receipt_number_counters,public.receipt_number_counters,base_table,8,6,982,Supabase Snippet Untitled query - 2026-08-29T154854.938.csv,base table export
T.receipts,public.receipts,base_table,5858,16,1629686,Supabase Snippet Untitled query - 2026-08-29T154903.887.csv,base table export
T.receipts_dedup_audit,public.receipts_dedup_audit,base_table,9,9,2745,Supabase Snippet Untitled query - 2026-08-29T154921.658.csv,base table export
T.role_permissions,public.role_permissions,base_table,122,10,21661,Supabase Snippet Untitled query - 2026-08-29T154940.107.csv,base table export
T.room_switches,public.room_switches,base_table,34,28,21655,Supabase Snippet Untitled query - 2026-08-29T154946.836.csv,base table export
T.running_bed_maintenance_details,public.running_bed_maintenance_details,base_table,23,21,43200,Supabase Snippet Untitled query - 2026-08-29T154954.652.csv,base table export
T.subscription_plans,public.subscription_plans,base_table,4,15,1342,Supabase Snippet Untitled query - 2026-08-29T155011.241.csv,base table export
T.tab_permissions,public.tab_permissions,base_table,405,12,78565,Supabase Snippet Untitled query - 2026-08-29T155032.943.csv,base table export
T.team_attendance,public.team_attendance,base_table,1320,11,329540,Supabase Snippet Untitled query - 2026-08-29T155041.610.csv,base table export
T.team_departments,public.team_departments,base_table,4,7,737,Supabase Snippet Untitled query - 2026-08-29T155053.345.csv,base table export
T.team_members,public.team_members,base_table,20,22,5177,Supabase Snippet Untitled query - 2026-08-29T155102.770.csv,base table export
T.team_payments,public.team_payments,base_table,3,9,667,Supabase Snippet Untitled query - 2026-08-29T155129.297.csv,base table export
T.team_salary_bills,public.team_salary_bills,base_table,71,13,13541,Supabase Snippet Untitled query - 2026-08-29T155139.403.csv,base table export
T.tenant_absence_records,public.tenant_absence_records,base_table,38,9,9320,Supabase Snippet Untitled query - 2026-08-29T155147.075.csv,base table export
T.tenant_adjustments,public.tenant_adjustments,base_table,266,21,104751,Supabase Snippet Untitled query - 2026-08-29T155203.975.csv,base table export
T.tenant_allotments,public.tenant_allotments,base_table,1213,26,447500,Supabase Snippet Untitled query - 2026-08-29T155232.016.csv,base table export
T.tenant_document_history,public.tenant_document_history,base_table,1,7,264,Supabase Snippet Untitled query - 2026-08-29T155239.352.csv,base table export
T.tenant_exits,public.tenant_exits,base_table,147,24,50711,Supabase Snippet Untitled query - 2026-08-29T155256.093.csv,base table export
T.tenant_notices,public.tenant_notices,base_table,86,10,21596,Supabase Snippet Untitled query - 2026-08-29T155315.444.csv,base table export
T.tenant_remarks,public.tenant_remarks,base_table,2,7,462,Supabase Snippet Untitled query - 2026-08-29T155325.393.csv,base table export
T.tenant_transactions,public.tenant_transactions,base_table,16451,12,4391408,Supabase Snippet Untitled query - 2026-08-29T155336.182.csv,base table export
T.tenants,public.tenants,base_table,1027,28,363221,Supabase Snippet Untitled query - 2026-08-29T155356.509.csv,"base table; 27 PII cols EXCLUDED, phone_hash derived"
T.ticket_assignment_rules,public.ticket_assignment_rules,base_table,7,8,1374,Supabase Snippet Untitled query - 2026-08-29T155404.818.csv,base table export
T.ticket_cost_estimates,public.ticket_cost_estimates,base_table,28,21,10124,Supabase Snippet Untitled query - 2026-08-29T155414.505.csv,base table export
T.ticket_cost_estimates_dedupe_backup_20260715,public.ticket_cost_estimates_dedupe_backup_20260715,base_table,12,21,4446,Supabase Snippet Untitled query - 2026-08-29T155424.210.csv,base table export
T.ticket_logs,public.ticket_logs,base_table,8240,8,1708075,Supabase Snippet Untitled query - 2026-08-29T155441.459.csv,base table; notes EXCLUDED; +1 row vs M.006 (live write)
T.ticket_number_counters,public.ticket_number_counters,base_table,5,6,622,Supabase Snippet Untitled query - 2026-08-29T155451.697.csv,base table export
